drug	disease.x	proximity.x	pval.x	similarity.x	adjusted_similarity.x	disease.y	proximity.y	pval.y	similarity.y	adjusted_similarity.y
thioridazine	Alzheimer Disease	0.333333333	6.69e-05	0.91666666675	0.827624363017613	Language Disorders	0.833333333	9.73e-13	0.79166666675	0.965109376415907
thioridazine	Alzheimer Disease	0.333333333	6.69e-05	0.91666666675	0.827624363017613	Alzheimer Disease	0.333333333	6.69e-05	0.91666666675	0.827624363017613
thiothixene	Alzheimer Disease	0	4.45e-05	1	0.916996180685167	Memory Disorders	1	0.00100666	0.75	0.475573630947114
thiothixene	Alzheimer Disease	0	4.45e-05	1	0.916996180685167	Language Disorders	0	4.44e-17	1	0.997960746870246
thiothixene	Alzheimer Disease	0	4.45e-05	1	0.916996180685167	Alzheimer Disease	0	4.45e-05	1	0.916996180685167
thonzylamine	Alzheimer Disease	0.833333333	0.041448241	0.79166666675	0.988249510046994	Alzheimer Disease	0.833333333	0.041448241	0.79166666675	0.988249510046994
thrombin	Alzheimer Disease	0.5	1.83e-05	0.875	0.996659662454039	Memory Disorders	1.5	0.014986478	0.625	0.751224390915506
thrombin	Alzheimer Disease	0.5	1.83e-05	0.875	0.996659662454039	Alzheimer Disease	0.5	1.83e-05	0.875	0.996659662454039
thrombin alfa	Alzheimer Disease	0.375	6.25e-05	0.90625	0.99791977939539	Memory Disorders	1.375	0.016281305	0.65625	0.262061106154156
thrombin alfa	Alzheimer Disease	0.375	6.25e-05	0.90625	0.99791977939539	Alzheimer Disease	0.375	6.25e-05	0.90625	0.99791977939539
thrombomodulin alfa	Alzheimer Disease	0	0.001172579	1	0.999498689431439	Alzheimer Disease	0	0.001172579	1	0.999498689431439
tiaprofenic acid	Alzheimer Disease	0	0.007507673	1	0.999498689431439	Alzheimer Disease	0	0.007507673	1	0.999498689431439
ticagrelor	Alzheimer Disease	0	0.000895621	1	0.999498689431439	Alzheimer Disease	0	0.000895621	1	0.999498689431439
ticlopidine	Alzheimer Disease	0	0.004505991	1	0.999498689431439	Alzheimer Disease	0	0.004505991	1	0.999498689431439
timolol	Alzheimer Disease	0	0.002057416	1	0.916996180685167	Memory Disorders	0.5	0.018309194	0.875	0.759915570510543
timolol	Alzheimer Disease	0	0.002057416	1	0.916996180685167	Language Disorders	1	0.030316224	0.75	0.475573630947114
timolol	Alzheimer Disease	0	0.002057416	1	0.916996180685167	Amyloid Neuropathies	1.5	0.01453463	0.625	0.661048189545015
timolol	Alzheimer Disease	0	0.002057416	1	0.916996180685167	Alzheimer Disease	0	0.002057416	1	0.916996180685167
tinzaparin	Alzheimer Disease	0.333333333	0.000518604	0.91666666675	0.998223773135608	Alzheimer Disease	0.333333333	0.000518604	0.91666666675	0.998223773135608
tiotropium	Alzheimer Disease	0.8	0.01821079	0.8	0.989632625584422	Alzheimer Disease	0.8	0.01821079	0.8	0.989632625584422
tirofiban	Alzheimer Disease	0.5	0.047813736	0.875	0.759915570510543	Alzheimer Disease	0.5	0.047813736	0.875	0.759915570510543
tirofiban	Alzheimer Disease	0.5	0.047813736	0.875	0.759915570510543	Memory Disorders	0.5	0.000996272	0.875	0.989912580974802
tizanidine	Alzheimer Disease	0.571428571	0.003521488	0.85714285725	0.995622925786853	Memory Disorders	1.571428571	0.009618783	0.60714285725	0.178527656590918
tizanidine	Alzheimer Disease	0.571428571	0.003521488	0.85714285725	0.995622925786853	Alzheimer Disease	0.571428571	0.003521488	0.85714285725	0.995622925786853
tocilizumab	Alzheimer Disease	0	0.002595716	1	0.916996180685167	Memory Disorders	1	0.01684862	0.75	0.945098078077383
tocilizumab	Alzheimer Disease	0	0.002595716	1	0.916996180685167	Alzheimer Disease	0	0.002595716	1	0.916996180685167
tocofersolan	Alzheimer Disease	0	0.006502383	1	0.916996180685167	Memory Disorders	0	3.96e-05	1	0.998215649602825
